Denumire medicament,Substanta activa,Lista de compensare,Cod medicament,Formă farmaceutica,Cod ATC,Mod de prescriere,Concentratie,Forma de ambalare,Nume detinator APP,Tara detinator APP,Cantitate pe forma ambalare,Preț maximal al medicamentului raportat la forma de ambalare,Pret maximal al medicamentului raportat la UT,"Contributie maxima a asiguratului raportat la UT, pentru asiguratii care beneficiază de compensare 100% din prețul de referinta","Contributie maxima a asiguratului raportat la UT, pentru asiguratii care beneficiaza de compensare 90% - sublista A, 50% - sublista B, 20% - sublista D din prețul de referinta","Contribuție maxima a asiguratului raportat la UT, pentru asiguratii care beneficiază de compensare 90% din pretul de referinta, pentru pensionari cu venituri de pana la 1.299 lei/luna inclusiv"
CANDESARTAN AUROBINDO 8 mg,CANDESARTANUM CILEXETIL,B,W66433003,COMPR.,C09CA06,P6L,8mg,CUTIE CU BLIST. PVC-PVDC/AL X 30 COMPR.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,30,1703,0567666,0000000,0283833,56767.0
ATACAND 8 mg,CANDESARTANUM CILEXETIL,B,W67396002,COMPR.,C09CA06,P6L,8mg,CUTIE CU BLIST. PVC-PVDC/AL CE CONTINE 28 COMPR.,CHEPLAPHARM ARZNEIMITTEL GMBH,GERMANIA,28,1737,0620357,0000000,0310179,62036.0
TELMISARTAN ACTAVIS 40mg,TELMISARTANUM,B,W56746002,COMPR.,C09CA07,P6L,40 mg,CUTIE CU BLIST. AL/AL X 28 COMPR.,ACTAVIS GROUP PTC EHF.,ISLANDA,28,1576,0562857,0000000,0281429,56286.0
TOLURA 40 mg,TELMISARTANUM,B,W55585002,COMPR.,C09CA07,P-6L,40mg,CUTIE CU BLIST.OPA-AL-PVC/AL X 28 COMPR.,KRKA D.D. NOVO MESTO,SLOVENIA,28,1724,0615714,0000000,0307857,61572.0
TEZEO 40 mg,TELMISARTANUM,B,W55534001,COMPR.,C09CA07,P-6L,40mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR.,"ZENTIVA, K.S.",REPUBLICA CEHA,30,1700,0566666,0000000,0283333,56667.0
TELMISARTAN ACTAVIS 80mg,TELMISARTANUM,B,W56747002,COMPR.,C09CA07,P6L,80 mg,CUTIE CU BLIST. AL/AL X 28 COMPR.,ACTAVIS GROUP PTC EHF.,ISLANDA,28,2131,0761071,0000000,0380536,76108.0
MICARDIS 80 mg,TELMISARTANUM,B,W05785002,COMPR.,C09CA07,P-6L,80mg,CUTIE X 28COMPR. ( BLIST. PA/AL/PVC),BOEHRINGER INGELHEIM INTERNATIONAL GMBH,GERMANIA,28,4095,1462500,0050701,0756601,191881.0
TOLURA 80 mg,TELMISARTANUM,B,W55586002,COMPR.,C09CA07,P-6L,80mg,CUTIE CU BLIST.OPA-AL-PVC/AL X 28 COMPR.,KRKA D.D. NOVO MESTO,SLOVENIA,28,2160,0771428,0000000,0385714,77143.0
TEZEO 80 mg,TELMISARTANUM,B,W55535001,COMPR.,C09CA07,P-6L,80mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR.,"ZENTIVA, K.S.",REPUBLICA CEHA,30,2405,0801666,0000000,0400833,80167.0
TELMARK 40 mg,TELMISARTANUM,B,W57129003,COMPR. FILM.,C09CA07,P6L,40mg,CUTIE CU BLIST. AL/AL X 28 COMPR. FILM.,GLENMARK PHARMACEUTICALS S.R.O.,REPUBLICA CEHA,28,1780,0635714,0000000,0317857,63572.0
TELMARK 80 mg,TELMISARTANUM,B,W57130003,COMPR. FILM.,C09CA07,P6L,80mg,CUTIE CU BLIST. AL/AL X 28 COMPR. FILM.,GLENMARK PHARMACEUTICALS S.R.O.,REPUBLICA CEHA,28,1866,0666428,0000000,0333214,66643.0
"LORISTA HL 100 mg/12,5 mg",COMBINATII (LOSARTANUM+HYDROCHLOROTHIAZIDUM),B,W56252005,COMPR.FILM,C09DA01,P-6L,"100mg/12,5mg",CUTIE CU BLIST. PVC-PVDC/AL X 28 COMPR. FILM.,KRKA D.D. NOVO MESTO,SLOVENIA,28,1829,0653214,0000000,0326607,65322.0
LORISTA H,COMBINATII (LOSARTANUM+HYDROCHLOROTHIAZIDUM),B,W43460003,COMPR.FILM,C09DA01,P-6L,"50mg+ 12,50mg",CUTIE X 2 BLIST. DIN PVC-PVDC/AL X 14 COMPR. FILM.,KRKA D.D. NOVO MESTO,SLOVENIA,28,1364,0487142,0000000,0243571,48715.0
"COAPROVEL 150mg/12,5mg",COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W07646001,COMPR.,C09DA04,P-6L,"150mg/12,5mg",CUTIE X 2 BLIST. PVC-PVDC/AL X 14 COMPR.,SANOFI PHARMA - BRISTOL MYERS SQUIBB,FRANTA,28,3444,1230000,0513301,0871651,584971.0
"COAPROVEL 300mg/12,5mg",COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W07647001,COMPR.,C09DA04,P-6L,"300mg/12,5mg",CUTIE X 2 BLIST. PVC-PVDC/AL X 14 COMPR.,SANOFI PHARMA - BRISTOL MYERS SQUIBB,FRANTA,28,4348,1552857,0836158,1194508,907828.0
"IRBESARTAN HYDROCHLOROTHIAZIDE ZENTIVA 150mg/12,5mg",COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W59584002,COMPR. FILM,C09DA04,P-6L,"150mg/12,5mg",CUTIE CU BLIST. PVC/PVDC/AL X 28 COMPR. FILM.,SANOFI-AVENTIS GROUPE,FRANTA,28,1806,0645000,0000000,0322500,64500.0
"IRBESARTAN HYDROCHLOROTHIAZIDE ZENTIVA 150mg/12,5 mg",COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W65144002,COMPR. FILM,C09DA04,P6L,"150mg/12,5mg",CUTIE CU BLIST. PVC/PVDC/AL X 28 COMPR. FILM.,ZENTIVA K.S.,REPUBLICA CEHA,28,1806,0645000,0000000,0322500,64500.0
"IRBESARTAN HYDROCHLOROTHIAZIDE ZENTIVA 300mg/12,5mg",COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W59585002,COMPR. FILM,C09DA04,P-6L,"300mg/12,5mg",CUTIE X 2 BLIST. PVC/PVDC/AL X 14 COMPR. FILM.,SANOFI-AVENTIS GROUPE,FRANTA,28,2921,1043214,0326515,0684865,398185.0
"IRBESARTAN HYDROCHLOROTHIAZIDE ZENTIVA 300mg/12,5 mg",COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W65145002,COMPR. FILM,C09DA04,P6L,"300mg/12,5mg",CUTIE CU BLIST. PVC/PVDC/AL X 28 COMPR. FILM.,ZENTIVA K.S.,REPUBLICA CEHA,28,2921,1043214,0326515,0684865,398185.0
"COAPROVEL 150mg/12,5mg",COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W60639002,COMPR. FILM.,C09DA04,P-6L,"150mg/12,5mg",CUTIE X BLIST. PVC-PVDC/AL X 28 COMPR. FILM.,SANOFI CLIR SNC,FRANTA,28,3444,1230000,0513301,0871651,584971.0
"CONVERIDE 150 mg/12,5 mg",COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W61154002,COMPR. FILM.,C09DA04,P6L,"150mg/12,5mg",CUTIE CU BLIST. OPACE PVC-PVDC/AL X 28 COMPR. FILM.,MEDOCHEMIE LTD,CIPRU,28,2311,0825357,0108658,0467008,180328.0
"CONVERIDE 150 mg/12,5 mg",COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W61154011,COMPR. FILM.,C09DA04,P6L,"150mg/12,5mg",CUTIE CU BLIST. TRANSPARENTE PVC-PE-PVDC/AL X 28 COMPR. FILM.,MEDOCHEMIE LTD,CIPRU,28,2311,0825357,0108658,0467008,180328.0
"COAPROVEL 150mg/12,5mg",COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W66394002,COMPR. FILM.,C09DA04,P6L,"150mg/12,5mg",CUTIE X BLIST. PVC/PVDC/AL X 28 COMPR. FILM.,SANOFI-AVENTIS GROUPE,FRANTA,28,3444,1230000,0513301,0871651,584971.0
"COAPROVEL 300mg/12,5mg",COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W60640002,COMPR. FILM.,C09DA04,P-6L,"300mg/12,5mg",CUTIE X BLIST. PVC-PVDC/AL X 28 COMPR. FILM.,SANOFI CLIR SNC,FRANTA,28,4348,1552857,0836158,1194508,907828.0
"CONVERIDE 300 mg/12,5 mg",COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W61158002,COMPR. FILM.,C09DA04,P6L,"300mg/12,5mg",CUTIE CU BLIST. OPACE PVC-PVDC/AL X 28 COMPR. FILM.,MEDOCHEMIE LTD,CIPRU,28,2601,0928928,0212229,0570579,283899.0
"CONVERIDE 300 mg/12,5 mg",COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W61158011,COMPR. FILM.,C09DA04,P6L,"300mg/12,5mg",CUTIE CU BLIST. TRANSPARENTE PVC-PE-PVDC/AL X 28 COMPR. FILM.,MEDOCHEMIE LTD,CIPRU,28,2601,0928928,0212229,0570579,283899.0
"COAPROVEL 300mg/12,5mg",COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W66395002,COMPR. FILM.,C09DA04,P6L,"300mg/12,5mg",CUTIE X 2 BLIST. PVC-PVDC/AL X 14 COMPR. FILM.,SANOFI-AVENTIS GROUPE,FRANTA,28,4350,1553571,0836872,1195222,908542.0
COAPROVEL 300mg/25mg,COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W60641002,COMPR. FILM.,C09DA04,P-6L,300mg/25mg,CUTIE X BLIST. PVC-PVDC/AL X 28 COMPR. FILM.,SANOFI CLIR SNC,FRANTA,28,4356,1555714,0839015,1197365,910685.0
CONVERIDE 300 mg/25 mg,COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W61159002,COMPR. FILM.,C09DA04,P6L,300mg/25mg,CUTIE CU BLIST. OPACE PVC-PVDC/AL X 28 COMPR. FILM.,MEDOCHEMIE LTD,CIPRU,28,2505,0894642,0177943,0536293,249613.0
CONVERIDE 300 mg/25 mg,COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W61159011,COMPR. FILM.,C09DA04,P6L,300mg/25mg,CUTIE CU BLIST. TRANSPARENTE PVC-PE-PVDC/AL X 28 COMPR. FILM.,MEDOCHEMIE LTD,CIPRU,28,2505,0894642,0177943,0536293,249613.0
COAPROVEL 300mg/25mg,COMBINATII (IRBERSARTANUM+HYDROCHLOROTHIAZIDUM),B,W66396002,COMPR. FILM.,C09DA04,P6L,300mg/25mg,CUTIE X 2 BLIST. PVC-PVDC/AL X 14 COMPR. FILM.,SANOFI-AVENTIS GROUPE,FRANTA,28,4356,1555714,0839015,1197365,910685.0
"KARBICOMBI 16 mg/12,5 mg",COMBINATII (CANDESARTANUM CILEXETIL+HCT),B,W57536004,COMPR.,C09DA06,P6L,"16mg/12,5mg",CUTIE CU BLIT. PVC-PVDC/AL X 30 COMPR.,"KRKA D.D., NOVO MESTO",SLOVENIA,30,2407,0802333,0085634,0443984,157304.0
"KARBICOMBI 16 mg/12,5 mg",COMBINATII (CANDESARTANUM CILEXETIL+HCT),B,W57536013,COMPR.,C09DA06,P6L,"16mg/12,5mg",CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR.,"KRKA D.D., NOVO MESTO",SLOVENIA,30,2407,0802333,0085634,0443984,157304.0
"CANZENO HCT 16mg/12,5mg",COMBINATII (CANDESARTANUM CILEXETIL+HCT),B,W58871004,COMPR.,C09DA06,P6L,"16mg/12,5mg",CUTIE CU BLIST. PVC/PVDC-AL X 30 COMPR.,ZENTIVA K.S.,REPUBLICA CEHA,30,2407,0802333,0085634,0443984,157304.0
"CANDESARTAN HCT SWYSSI 16 mg/12,5 mg",COMBINATII (CANDESARTANUM CILEXETIL+HCT),B,W64690001,COMPR.,C09DA06,P6L,"16mg/12,5mg",CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR.,SWYSSI AG,GERMANIA,30,2373,0791000,0074301,0432651,145971.0
"KARBICOMBI 8 mg/12,5 mg",COMBINATII (CANDESARTANUM CILEXETIL+HCT),B,W57535004,COMPR.,C09DA06,P6L,"8mg/12,5mg",CUTIE CU BLIT. PVC-PVDC/AL X 30 COMPR.,"KRKA D.D., NOVO MESTO",SLOVENIA,30,1413,0471000,0000000,0235500,47100.0
"KARBICOMBI 8 mg/12,5 mg",COMBINATII (CANDESARTANUM CILEXETIL+HCT),B,W57535013,COMPR.,C09DA06,P6L,"8mg/12,5mg",CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR.,"KRKA D.D., NOVO MESTO",SLOVENIA,30,1413,0471000,0000000,0235500,47100.0
"CANZENO HCT 8mg/12,5mg",COMBINATII (CANDESARTANUM CILEXETIL+HCT),B,W58870004,COMPR.,C09DA06,P6L,"8mg/12,5mg",CUTIE CU BLIST. PVC/PVDC-AL X 30 COMPR.,ZENTIVA K.S.,REPUBLICA CEHA,30,1391,0463666,0000000,0231833,46367.0
"CANDESARTAN HCT SWYSSI 8 mg/12,5 mg",COMBINATII (CANDESARTANUM CILEXETIL+HCT),B,W64688001,COMPR.,C09DA06,P6L,"8mg/12,5mg",CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR.,SWYSSI AG,GERMANIA,30,1391,0463666,0000000,0231833,46367.0
"ACTELSAR HCT 80 mg/12,5 mg",COMBINATII (TELMISARTANUM+HYDROCHLOROTHIAZIDUM),B,W59718002,COMPR.,C09DA07,PRF,"80 mg/12,5 mg",CUTIE CU BLISTERE DIN AL/AL X 28 COMPRIMATE,ACTAVIS GROUP PTC EHF.,ISLANDA,28,2985,1066071,0349372,0707722,421042.0
"TOLUCOMBI 80 mg/12,5mg",COMBINATII (TELMISARTANUM+HYDROCHLOROTHIAZIDUM),B,W59819005,COMPR.,C09DA07,PRF,"80 mg/12,5mg",CUTIE CU BLIST. DIN OPA-AL-PVC/AL X 30 COMPRIMATE,KRKA D.D.,SLOVENIA,30,2405,0801666,0084967,0443317,156637.0
TOLUCOMBI 80 mg/25mg,COMBINATII (TELMISARTANUM+HYDROCHLOROTHIAZIDUM),B,W59820005,COMPR.,C09DA07,PRF,80 mg/25mg,CUTIE CU BLIST. DIN OPA-AL-PVC/AL X 30 COMPRIMATE,KRKA D.D.,SLOVENIA,30,2405,0801666,0084967,0443317,156637.0
ACTELSAR HCT 80 mg/25mg,COMBINATII (TELMISARTANUM+HYDROCHLOROTHIAZIDUM),B,W59719001,COMPR.,C09DA07,PRF,80 mg/25mg,CUTIE CU BLISTERE DIN AL/AL X 28 COMPRIMATE,ACTAVIS GROUP PTC EHF.,ISLANDA,28,3237,1156071,0439372,0797722,511042.0
"MICARDISPLUS 80/12,5mg",COMBINATII (TELMISARTANUM+HYDROCHLOROTHIAZIDUM),B,W12033002,COMPR.,C09DA07,P-6L,"80/12,5mg",CUTIE X 28COMPR. ( BLIST. PA/AL/PVC),BOEHRINGER INGELHEIM INTERNATIONAL GMBH,GERMANIA,28,4603,1643928,0927229,1285579,998899.0
MICARDISPLUS 80/25mg,COMBINATII (TELMISARTANUM+HYDROCHLOROTHIAZIDUM),B,W53178002,COMPR.,C09DA07,P-6L,80/25mg,CUTIE X 28 COMPR. (BLIST. PA/AL/PVC/AL SAU PA/PA/AL/PVC/AL),BOEHRINGER INGELHEIM INTERNATIONAL GMBH,GERMANIA,28,4825,1723214,1006515,1364865,1078185.0
"TELMISARTAN/HIDROCLOROTIAZIDA EGIS 80 mg/12,5 mg",COMBINATII (TELMISARTANUM+HYDROCHLOROTHIAZIDUM),B,W59921007,COMPR.,C09DA07,P6L,"80mg/12,5mg",CUTIE CU BLIST. AL/AL X 30 COMPR.,EGIS PHARMACEUTICALS P.L.C.,UNGARIA,30,2405,0801666,0084967,0443317,156637.0
"TEZEO HCT 80 mg/12,5 mg",COMBINATII (TELMISARTANUM+HYDROCHLOROTHIAZIDUM),B,W60206003,COMPR.,C09DA07,P6L,"80mg/12,5mg",CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR.,"ZENTIVA, K.S.",REPUBLICA CEHA,30,2219,0739666,0022967,0381317,94637.0
"TELHYCAR 80 mg/12,5 mg",COMBINATII (TELMISARTANUM+HYDROCHLOROTHIAZIDUM),B,W65924001,COMPR.,C09DA07,P6L,"80mg/12,5mg",CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR.,SWYSSI AG.,GERMANIA,28,3153,1126071,0409372,0767722,481042.0
TEZEO HCT 80 mg/25 mg,COMBINATII (TELMISARTANUM+HYDROCHLOROTHIAZIDUM),B,W60207003,COMPR.,C09DA07,P6L,80mg/25mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 30 COMPR.,"ZENTIVA, K.S.",REPUBLICA CEHA,30,3294,1098000,0381301,0739651,452971.0
TELHYCAR 80 mg/25 mg,COMBINATII (TELMISARTANUM+HYDROCHLOROTHIAZIDUM),B,W65925001,COMPR.,C09DA07,P6L,80mg/25mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR.,SWYSSI AG.,GERMANIA,28,3153,1126071,0409372,0767722,481042.0
EXFORGE 10mg/160mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W51851005,COMPR. FILM.,C09DB01,P-6L,10mg/160mg,CUTIE X 56 COMPR. FILM. (BLIST. PVC/PVDC ),NOVARTIS EUROPHARM LTD.,MAREA BRITANIE,56,11367,2029821,0268750,1149286,444858.0
AMLODIPINA/VALSARTAN ZENTIVA 10 mg/160 mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W62738003,COMPR. FILM.,C09DB01,P6L,10mg/160mg,CUTIE CU BLIST. PVC-ACLAR-PVC/AL X 28 COMPR. FILM.,"ZENTIVA, K.S.",REPUBLICA CEHA,28,6685,2387500,0626429,1506965,802537.0
AMLODIPINA/VALSARTAN ZENTIVA 10 mg/160 mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W62738005,COMPR. FILM.,C09DB01,P6L,10mg/160mg,CUTIE CU BLIST. PVC-ACLAR-PVC/AL X 56 COMPR. FILM.,"ZENTIVA, K.S.",REPUBLICA CEHA,56,12682,2264642,0503571,1384107,679679.0
AMLODIPINA/VALSARTAN STADA 10 mg/160 mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W62875006,COMPR. FILM.,C09DB01,P6L,10mg/160mg,CUTIE CU BLIST. PVC-TE-PVDC/AL X 56 COMPR. FILM.,STADA M&D S.R.L.,ROMANIA,56,9160,1635714,0000000,0817857,163572.0
EXFORGE 10mg/160mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W64723005,COMPR. FILM.,C09DB01,P6L,10mg/160mg,CUTIE X 56 COMPR. FILM. (BLIST. PVC/PVDC ),NOVARTIS EUROPHARM LTD.,IRLANDA,56,11367,2029821,0268750,1149286,444858.0
EXFORGE 5mg/160mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W51852005,COMPR. FILM.,C09DB01,P-6L,5mg/160mg,CUTIE X 56 COMPR. FILM. (BLIST. PVC/PVDC ),NOVARTIS EUROPHARM LTD.,MAREA BRITANIE,56,11367,2029821,0320547,1175184,491475.0
AMLODIPINA/VALSARTAN ZENTIVA 5 mg/160 mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W62737003,COMPR. FILM.,C09DB01,P6L,5mg/160mg,CUTIE CU BLIST. PVC-ACLAR-PVC/AL X 28 COMPR. FILM.,"ZENTIVA, K.S.",REPUBLICA CEHA,28,6501,2321785,0612511,1467148,783439.0
AMLODIPINA/VALSARTAN ZENTIVA 5 mg/160 mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W62737005,COMPR. FILM.,C09DB01,P6L,5mg/160mg,CUTIE CU BLIST. PVC-ACLAR-PVC/AL X 56 COMPR. FILM.,"ZENTIVA, K.S.",REPUBLICA CEHA,56,12350,2205357,0496083,1350720,667011.0
AMLODIPINA/VALSARTAN STADA 5 mg/160 mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W62874006,COMPR. FILM.,C09DB01,P6L,5mg/160mg,CUTIE CU BLIST. PVC-TE-PVDC/AL X 56 COMPR. FILM.,STADA M&D S.R.L.,ROMANIA,56,9160,1635714,0000000,0817857,163572.0
EXFORGE 5mg/160mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W64722005,COMPR. FILM.,C09DB01,P6L,5mg/160mg,CUTIE X 56 COMPR. FILM. (BLIST. PVC/PVDC ),NOVARTIS EUROPHARM LTD.,IRLANDA,56,11367,2029821,0320547,1175184,491475.0
EXFORGE 5mg/80mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W51853005,COMPR. FILM.,C09DB01,P-6L,5mg/80mg,CUTIE X 56 COMPR. FILM.(BLIST.PVC/PVDC ),NOVARTIS EUROPHARM LTD.,MAREA BRITANIE,56,12646,2258214,1377679,1817947,1465733.0
AMLODIPINA/VALSARTAN ZENTIVA 5 mg/80 mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W62736003,COMPR. FILM.,C09DB01,P6L,5mg/80mg,CUTIE CU BLIST. PVC-ACLAR-PVC/AL X 28 COMPR. FILM.,"ZENTIVA, K.S.",REPUBLICA CEHA,28,6684,2387142,1506607,1946875,1594661.0
AMLODIPINA/VALSARTAN ZENTIVA 5 mg/80 mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W62736005,COMPR. FILM.,C09DB01,P6L,5mg/80mg,CUTIE CU BLIST. PVC-ACLAR-PVC/AL X 56 COMPR. FILM.,"ZENTIVA, K.S.",REPUBLICA CEHA,56,12679,2264107,1383572,1823840,1471626.0
AMLODIPINA/VALSARTAN STADA 5 mg/80 mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W62873006,COMPR. FILM.,C09DB01,P6L,5mg/80mg,CUTIE CU BLIST. PVC-TE-PVDC/AL X 56 COMPR. FILM.,STADA M&D S.R.L.,ROMANIA,56,12679,2264107,1383572,1823840,1471626.0
EXFORGE 5mg/80mg,COMBINATII (AMLODIPINUM+VALSARTANUM),B,W64721005,COMPR. FILM.,C09DB01,P6L,5mg/80mg,CUTIE X 56 COMPR. FILM. (BLIST. PVC/PVDC ),NOVARTIS EUROPHARM LTD.,IRLANDA,56,12646,2258214,1377679,1817947,1465733.0
INOVUM 20 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W53445002,COMPR. FILM.,C09DB02,P-6L,20mg/5mg,CUTIE CU BLIST. DIN OPA-AL-PVC/AL X 28 COMPR. FILM.,MENARINI INTERNATIONAL OPERATIONS LUXEMBURG S.A.,LUXEMBOURG,28,4977,1777500,0896965,1337233,985019.0
SEVIKAR 20 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W57427002,COMPR. FILM.,C09DB02,P6L,20mg/5mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,TERAPIA S.A.,ROMANIA,28,4964,1772857,0892322,1332590,980376.0
OLMESARTAN MEDOXOMIL/AMLODIPINA ZENTIVA 20 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64084002,COMPR. FILM.,C09DB02,P6L,20mg/5mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,"ZENTIVA, K.S.",REPUBLICA CEHA,28,6404,2287142,1406607,1846875,1494661.0
OLSSA 20 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64151002,COMPR. FILM.,C09DB02,P6L,20mg/5mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,HCS BVBA,BELGIA,28,4578,1635000,0754465,1194733,842519.0
OLMESARTAN MEDOXOMIL/AMLODIPINA ACCORD 20 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64245001,COMPR. FILM.,C09DB02,P6L,20mg/5mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,ACCORD HEALTHCARE LIMITED,MAREA BRITANIE,28,3814,1362142,0481607,0921875,569661.0
OLMESARTAN MEDOXOMIL/AMLODIPINA ACCORD 20 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64245006,COMPR. FILM.,C09DB02,P6L,20mg/5mg,CUTIE CU BLIST. PERFORATE PT. ELIBERAREA UNEI UNITATI DOZATE OPA-AL-PVC/AL X 28 COMPR. FILM.,ACCORD HEALTHCARE LIMITED,MAREA BRITANIE,28,3814,1362142,0481607,0921875,569661.0
SEVIKAR 20 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W64426002,COMPR. FILM.,C09DB02,P6L,20mg/5mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,ALVOGEN MALTA OPERATIONS (ROW) LTD.,MALTA,28,4964,1772857,0892322,1332590,980376.0
OLMESARTAN MEDOXOMIL/AMLODIPINA ACCORD 20 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W65814001,COMPR. FILM.,C09DB02,P6L,20mg/5mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,ACCORD HEALTHCARE POLSKA SP. Z O.O.,POLONIA,28,3814,1362142,0481607,0921875,569661.0
OLMESARTAN MEDOXOMIL/AMLODIPINA ACCORD 20 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W65814006,COMPR. FILM.,C09DB02,P6L,20mg/5mg,CUTIE CU BLIST. PERFORATE PT. ELIBERAREA UNEI UNITATI DOZATE OPA-AL-PVC/AL X 28 COMPR. FILM.,ACCORD HEALTHCARE POLSKA SP. Z O.O.,POLONIA,28,3814,1362142,0481607,0921875,569661.0
SALVO 20 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W66041002,COMPR. FILM.,C09DB02,P6L,20mg/5mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,TERAPIA SA,ROMANIA,28,4576,1634285,0753750,1194018,841804.0
OLSSA 20 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W66702002,COMPR. FILM.,C09DB02,P6L,20mg/5mg,CUTIE CU BLIST. OPA-PVC/AL X 28 COMPR. FILM.,"KRKA D.D., NOVO MESTO",SLOVENIA,28,4578,1635000,0754465,1194733,842519.0
OLSSA 20 mg/5 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W66702011,COMPR. FILM.,C09DB02,P6L,20mg/5mg,CUTIE CU UN PACHET CALENDAR DIN OPA-PVC/AL X 28 COMPR. FILM.,"KRKA D.D., NOVO MESTO",SLOVENIA,28,4578,1635000,0754465,1194733,842519.0
INOVUM 40 mg/10 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W53447002,COMPR. FILM.,C09DB02,P-6L,40mg/10mg,CUTIE CU BLIST. DIN OPA-AL-PVC/AL X 28 COMPR. FILM.,MENARINI INTERNATIONAL OPERATIONS LUXEMBURG S.A.,LUXEMBOURG,28,5344,1908571,0147500,1028036,323608.0
SEVIKAR 40 mg/10 mg,OLMESARTANUM MEDOXOMILUM+AMLODIPINUM,B,W57425002,COMPR. FILM.,C09DB02,P6L,40mg/10mg,CUTIE CU BLIST. OPA-AL-PVC/AL X 28 COMPR. FILM.,TERAPIA S.A.,ROMANIA,28,5335,1905357,0144286,1024822,320394.0
